# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-07-03 00:25:50; hka-aqm-a106;  27.65;  36.72;   426;  1344;     6;     0;     3;     0;  -137;  -137; -17.0; drag-outd-01; 3; 11; 125000; 18986
2023-07-03 01:55:06; hka-aqm-a106;  27.47;  36.75;   429;  1334;     6;     0;     4;     1;  -134;  -134; -16.8; drag-outd-01; 1; 11; 125000; 18991
2023-07-03 04:02:06; hka-aqm-a106;  27.30;  36.72;   434;  1284;     6;     2;     2;     0;  -130;  -130; -14.5; drag-outd-01; 2; 11; 125000; 18999
2023-07-03 05:52:28; hka-aqm-a106;  27.21;  36.82;   455;  1254;    13;     4;     4;     1;  -130;  -130; -15.2; drag-lps8-02; 5; 11; 125000; 19006
2023-07-03 06:27:14; hka-aqm-a106;  27.25;  38.57;   450;  1317;    39;     5;     4;     1;  -130;  -130; -17.0; drag-outd-01; 6; 11; 125000; 19009
2023-07-03 06:46:53; hka-aqm-a106;  26.93;  37.25;   429;   837;    36;     7;     4;     1;  -128;  -128; -11.5; drag-outd-01; 4; 11; 125000; 19011
2023-07-03 07:03:30; hka-aqm-a106;  26.55;  37.78;   421;   681;    49;     9;     4;     1;  -132;  -132; -14.8; drag-outd-01; 4; 11; 125000; 19013
2023-07-03 07:39:47; hka-aqm-a106;  26.12;  38.97;   424;   704;    58;    13;     2;     4;  -130;  -130; -11.0; drag-outd-01; 3; 11; 125000; 19016
2023-07-03 07:59:27; hka-aqm-a106;  26.15;  38.57;   427;   711;    66;    15;     1;     2;  -132;  -132; -13.8; drag-outd-01; 3; 11; 125000; 19018
2023-07-03 08:35:47; hka-aqm-a106;  25.82;  38.27;   425;   632;   102;    24;     1;     3;  -129;  -129; -11.2; drag-outd-01; 3; 11; 125000; 19021
2023-07-03 08:53:57; hka-aqm-a106;  25.67;  38.31;   427;   750;   133;    34;     4;     6;  -134;  -134; -16.8; drag-outd-01; 4; 11; 125000; 19023
2023-07-03 08:59:34; hka-aqm-a106;  25.86;  38.18;   427;   678;   141;    35;     4;     9;  -132;  -132; -16.5; drag-outd-01; 1; 11; 125000; 19025
2023-07-03 09:17:44; hka-aqm-a106;  25.98;  37.65;   448;   664;   157;    37;     4;    16;  -131;  -131; -16.2; drag-lps8-02; 4; 11; 125000; 19027
2023-07-03 09:35:52; hka-aqm-a106;  26.08;  37.51;   435;   659;   158;    38;     3;    13;  -137;  -137; -16.8; drag-outd-01; 3; 11; 125000; 19028
