# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-03-25 00:06:12; hka-aqm-a108;  22.16;  43.97;   441;   690;     6;     2;     3;     5;  -124;  -124;  -4.2; drag-outd-01; 3; 7; 125000; 9523
2023-03-25 00:21:25; hka-aqm-a108;  22.11;  43.94;   438;   692;     6;     0;     0;     0;  -126;  -126;  -7.2; drag-outd-01; 6; 7; 125000; 9524
2023-03-25 00:36:32; hka-aqm-a108;  22.10;  43.87;   441;   669;     6;     0;     3;     5;  -124;  -124;  -5.0; drag-outd-01; 4; 7; 125000; 9525
2023-03-25 00:51:45; hka-aqm-a108;  22.05;  43.87;   436;   658;     9;     3;     0;     0;  -126;  -126;  -7.0; drag-outd-01; 2; 7; 125000; 9527
2023-03-25 01:06:52; hka-aqm-a108;  22.04;  43.74;   432;   695;     8;     2;     4;     5;  -126;  -126;  -8.0; drag-lps8-02; 0; 7; 125000; 9528
2023-03-25 01:21:59; hka-aqm-a108;  22.01;  43.74;   436;   645;     6;     1;     1;     0;  -124;  -124;  -6.5; drag-outd-01; 5; 7; 125000; 9529
2023-03-25 01:52:11; hka-aqm-a108;  21.94;  43.55;   432;   648;     6;     0;     4;     5;  -122;  -122;  -4.8; drag-outd-01; 2; 7; 125000; 9531
2023-03-25 02:07:17; hka-aqm-a108;  21.92;  43.45;   433;   675;     6;     0;     2;     0;  -123;  -123;  -5.2; drag-outd-01; 6; 7; 125000; 9532
2023-03-25 02:22:24; hka-aqm-a108;  21.89;  43.35;   431;   640;     8;     2;     0;     0;  -128;  -128;  -8.5; drag-outd-01; 7; 7; 125000; 9533
2023-03-25 03:07:43; hka-aqm-a108;  21.78;  43.16;   429;   625;     6;     2;     2;     0;  -127;  -127;  -9.0; drag-outd-01; 4; 7; 125000; 9536
2023-03-25 03:37:59; hka-aqm-a108;  21.74;  43.03;   433;   644;     6;     0;     1;     0;  -124;  -124;  -7.0; drag-lps8-02; 5; 7; 125000; 9538
2023-03-25 03:53:05; hka-aqm-a108;  21.74;  42.99;   429;   641;     9;     3;     4;     5;  -124;  -124;  -4.5; drag-outd-01; 4; 7; 125000; 9539
2023-03-25 04:08:11; hka-aqm-a108;  21.70;  42.93;   431;   601;     6;     0;     4;     5;  -125;  -125;  -7.2; drag-outd-01; 6; 7; 125000; 9540
2023-03-25 04:23:24; hka-aqm-a108;  21.68;  42.86;   429;   636;     6;     1;     3;     0;  -125;  -125;  -8.0; drag-lps8-02; 7; 7; 125000; 9542
2023-03-25 04:38:46; hka-aqm-a108;  21.65;  42.77;   434;   636;     6;     2;     2;     0;  -122;  -122;  -4.2; drag-outd-01; 5; 7; 125000; 9543
2023-03-25 04:53:59; hka-aqm-a108;  21.61;  42.67;   435;   645;     9;     3;     4;     5;  -124;  -124;  -8.8; drag-lps8-08; 4; 7; 125000; 9544
2023-03-25 05:09:05; hka-aqm-a108;  21.58;  42.57;   430;   634;     9;     3;     1;     0;  -124;  -124;  -7.2; drag-lps8-02; 7; 7; 125000; 9545
2023-03-25 05:24:19; hka-aqm-a108;  21.56;  42.51;   429;   632;     7;     1;     4;     5;  -122;  -122;  -3.8; drag-outd-01; 1; 7; 125000; 9546
2023-03-25 05:39:39; hka-aqm-a108;  21.53;  42.41;   426;   648;     6;     1;     4;     5;  -118;  -118;  -0.8; drag-outd-01; 2; 7; 125000; 9547
2023-03-25 05:54:45; hka-aqm-a108;  21.52;  42.38;   427;   630;     7;     1;     4;     5;  -124;  -124;  -5.5; drag-outd-01; 6; 7; 125000; 9548
2023-03-25 06:09:59; hka-aqm-a108;  21.46;  42.24;   432;   641;    14;     4;     2;     0;  -126;  -126;  -5.2; drag-outd-01; 3; 7; 125000; 9549
2023-03-25 06:25:12; hka-aqm-a108;  21.47;  42.11;   429;   649;    32;     6;     3;     0;  -123;  -123;  -8.0; drag-lps8-02; 5; 7; 125000; 9550
2023-03-25 06:40:25; hka-aqm-a108;  21.46;  42.08;   431;   631;    65;    21;     2;     0;  -126;  -126;  -7.5; drag-lps8-02; 7; 7; 125000; 9552
2023-03-25 06:55:31; hka-aqm-a108;  21.41;  42.02;   430;   629;   103;    25;     1;     0;  -122;  -122;  -5.5; drag-outd-01; 1; 7; 125000; 9553
2023-03-25 06:58:30; hka-aqm-a108;  21.44;  41.98;   427;   596;   357;   103;     3;     0;  -128;  -128;  -7.8; drag-outd-01; 7; 7; 125000; 9556
2023-03-25 06:59:11; hka-aqm-a108;  21.44;  41.98;   427;   616;   159;    43;     3;     0;  -125;  -125;  -7.2; drag-lps8-02; 0; 7; 125000; 9558
2023-03-25 06:59:49; hka-aqm-a108;  21.48;  41.98;   431;   618;    95;    26;     1;     0;  -127;  -127;  -7.0; drag-outd-01; 6; 7; 125000; 9560
2023-03-25 07:14:19; hka-aqm-a108;  21.44;  41.92;   426;   637;   285;    75;     3;     0;  -126;  -126;  -7.2; drag-outd-01; 6; 7; 125000; 9561
2023-03-25 07:15:09; hka-aqm-a108;  21.42;  41.92;   430;   641;   408;   107;     0;     0;  -124;  -124;  -7.8; drag-lps8-02; 0; 7; 125000; 9562
2023-03-25 07:16:30; hka-aqm-a108;  21.44;  41.92;   426;   642;   397;   102;     1;     0;  -126;  -126;  -6.0; drag-outd-01; 3; 7; 125000; 9563
2023-03-25 07:17:10; hka-aqm-a108;  21.46;  41.89;   426;   647;   402;   107;     2;     0;  -126;  -126;  -9.5; drag-lps8-02; 7; 7; 125000; 9564
2023-03-25 07:18:49; hka-aqm-a108;  21.46;  41.85;   427;   672;   474;   128;     3;     0;  -126;  -126;  -6.8; drag-outd-01; 6; 7; 125000; 9566
2023-03-25 07:19:30; hka-aqm-a108;  21.46;  41.85;   426;   606;   394;   108;     2;     0;  -124;  -124;  -5.2; drag-outd-01; 1; 7; 125000; 9567
2023-03-25 07:25:30; hka-aqm-a108;  21.50;  41.82;   426;   635;   543;   140;     3;     0;  -122;  -122;  -7.0; drag-lps8-02; 7; 7; 125000; 9568
2023-03-25 07:25:50; hka-aqm-a108;  21.45;  41.79;   426;   635;   871;   224;     3;     0;  -123;  -123;  -5.8; drag-lps8-02; 5; 7; 125000; 9569
2023-03-25 07:26:49; hka-aqm-a108;  21.51;  41.82;   430;   639;  1204;   328;     1;     0;  -121;  -121;  -3.0; drag-outd-01; 2; 7; 125000; 9571
2023-03-25 07:27:17; hka-aqm-a108;  21.49;  41.82;   428;   638;  3430;   854;     2;     0;  -122;  -122;  -3.5; drag-outd-01; 5; 7; 125000; 9572
2023-03-25 07:27:30; hka-aqm-a108;  21.51;  41.79;   427;   670;  2589;   627;     2;     0;  -128;  -128;  -7.5; drag-outd-01; 4; 7; 125000; 9573
2023-03-25 07:27:57; hka-aqm-a108;  21.46;  41.76;   426;   660;   748;   180;     3;     0;  -124;  -124;  -7.2; drag-lps8-02; 0; 7; 125000; 9575
2023-03-25 07:29:05; hka-aqm-a108;  21.48;  41.79;   426;   641;   553;   142;     1;     0;  -128;  -128;  -8.5; drag-outd-01; 3; 7; 125000; 9576
2023-03-25 07:29:51; hka-aqm-a108;  21.49;  41.76;   430;   639;   775;   195;     0;     0;  -122;  -122;  -4.2; drag-outd-01; 6; 7; 125000; 9577
2023-03-25 07:30:31; hka-aqm-a108;  21.54;  41.76;   427;   639;   874;   220;     1;     0;  -122;  -122;  -6.5; drag-lps8-02; 5; 7; 125000; 9578
2023-03-25 07:31:10; hka-aqm-a108;  21.55;  41.72;   426;   639;   445;   113;     0;     0;  -124;  -124;  -5.8; drag-outd-01; 4; 7; 125000; 9579
2023-03-25 07:34:11; hka-aqm-a108;  21.52;  41.72;   426;   647;   412;   104;     2;     0;  -123;  -123;  -4.0; drag-outd-01; 2; 7; 125000; 9581
2023-03-25 07:34:30; hka-aqm-a108;  21.50;  41.66;   426;   644;   501;   129;     2;     0;  -122;  -122;  -7.0; drag-lps8-02; 7; 7; 125000; 9582
2023-03-25 07:34:52; hka-aqm-a108;  21.52;  41.66;   426;   640;   663;   176;     2;     0;  -125;  -125;  -8.2; drag-lps8-02; 7; 7; 125000; 9583
2023-03-25 07:35:18; hka-aqm-a108;  21.56;  41.69;   426;   637;   912;   239;     0;     0;  -126;  -126;  -7.5; drag-lps8-02; 0; 7; 125000; 9584
2023-03-25 07:35:49; hka-aqm-a108;  21.52;  41.66;   430;   681;  2134;   510;     3;     0;  -126;  -126;  -8.5; drag-outd-01; 5; 7; 125000; 9585
2023-03-25 07:36:18; hka-aqm-a108;  21.52;  41.69;   428;   667;  3729;   908;     3;     0;  -123;  -123;  -4.2; drag-outd-01; 6; 7; 125000; 9586
2023-03-25 07:36:30; hka-aqm-a108;  21.51;  41.66;   427;   656;  1773;   421;     2;     0;  -125;  -125;  -5.8; drag-lps8-02; 0; 7; 125000; 9587
2023-03-25 07:36:51; hka-aqm-a108;  21.49;  41.66;   426;   647;   567;   138;     2;     0;  -125;  -125;  -5.0; drag-outd-01; 3; 7; 125000; 9588
2023-03-25 07:37:17; hka-aqm-a108;  21.56;  41.66;   426;   646;   435;   107;     2;     0;  -122;  -122;  -9.2; drag-lps8-02; 1; 7; 125000; 9589
2023-03-25 07:37:37; hka-aqm-a108;  21.55;  41.66;   426;   643;   375;    91;     2;     0;  -121;  -121;  -6.2; drag-lps8-02; 5; 7; 125000; 9590
2023-03-25 07:38:11; hka-aqm-a108;  21.56;  41.66;   430;   639;   295;    71;     2;     0;  -123;  -123;  -6.0; drag-lps8-02; 0; 7; 125000; 9591
2023-03-25 07:41:19; hka-aqm-a108;  21.50;  41.66;   428;   641;   402;    99;     3;     1;  -118;  -118;  -1.8; drag-outd-01; 1; 7; 125000; 9592
2023-03-25 07:41:30; hka-aqm-a108;  21.56;  41.62;   427;   639;  2250;   543;     3;     0;  -122;  -122;  -4.0; drag-outd-01; 3; 7; 125000; 9593
2023-03-25 07:42:18; hka-aqm-a108;  21.54;  41.59;   430;   647; 16608;  4322;     3;     0;  -128;  -128;  -8.0; drag-outd-01; 4; 7; 125000; 9594
2023-03-25 07:43:10; hka-aqm-a108;  21.63;  41.46;   426;   642; 10958;  2744;     2;     0;  -126;  -126;  -6.5; drag-outd-01; 7; 7; 125000; 9597
2023-03-25 07:43:37; hka-aqm-a108;  21.66;  41.43;   426;   642; 17344;  4480;     2;     0;  -125;  -125;  -7.8; drag-lps8-02; 0; 7; 125000; 9598
2023-03-25 07:43:52; hka-aqm-a108;  21.61;  41.33;   426;   662;  6725;  1618;     1;     0;  -124;  -124;  -4.5; drag-outd-01; 4; 7; 125000; 9599
2023-03-25 07:45:10; hka-aqm-a108;  21.64;  41.26;   428;   635; 23457;  6152;     2;     0;  -124;  -124;  -7.2; drag-lps8-02; 5; 7; 125000; 9602
2023-03-25 07:45:31; hka-aqm-a108;  21.72;  41.20;   427;   635; 21423;  5604;     0;     0;  -125;  -125;  -6.8; drag-outd-01; 4; 7; 125000; 9603
2023-03-25 07:45:50; hka-aqm-a108;  21.73;  41.13;   426;   637; 22064;  5766;     1;     0;  -125;  -125;  -5.8; drag-outd-01; 3; 7; 125000; 9604
2023-03-25 07:46:11; hka-aqm-a108;  21.77;  41.04;   426;   647; 22229;  5806;     1;     0;  -124;  -124;  -5.2; drag-outd-01; 4; 7; 125000; 9605
2023-03-25 07:46:50; hka-aqm-a108;  21.79;  40.87;   430;   645; 17693;  4552;     1;     0;  -122;  -122;  -9.2; drag-lps8-02; 5; 7; 125000; 9606
2023-03-25 07:47:36; hka-aqm-a108;  21.84;  40.87;   432;   644; 23797;  6222;     1;     0;  -122;  -122;  -4.5; drag-outd-01; 5; 7; 125000; 9607
2023-03-25 07:47:51; hka-aqm-a108;  21.89;  40.71;   430;   640; 19745;  5094;     1;     0;  -123;  -123;  -9.2; drag-lps8-02; 4; 7; 125000; 9608
2023-03-25 07:48:30; hka-aqm-a108;  21.95;  40.68;   432;   639; 20055;  5193;     0;     0;  -123;  -123;  -4.0; drag-outd-01; 6; 7; 125000; 9609
2023-03-25 07:48:59; hka-aqm-a108;  21.98;  40.58;   430;   639;  6577;  1593;     0;     0;  -124;  -124;  -6.5; drag-lps8-02; 0; 7; 125000; 9610
2023-03-25 07:49:11; hka-aqm-a108;  22.02;  40.61;   428;   639; 20704;  5357;     0;     0;  -125;  -125;  -7.8; drag-lps8-02; 7; 7; 125000; 9611
2023-03-25 07:49:38; hka-aqm-a108;  22.00;  40.51;   427;   640; 18958;  4917;     1;     0;  -125;  -125;  -7.2; drag-lps8-02; 0; 7; 125000; 9612
2023-03-25 07:49:59; hka-aqm-a108;  22.08;  40.45;   426;   638;  5456;  1353;     1;     0;  -125;  -125;  -8.0; drag-lps8-02; 7; 7; 125000; 9613
2023-03-25 07:50:10; hka-aqm-a108;  22.00;  40.51;   426;   638;  2387;   601;     0;     0;  -125;  -125;  -7.2; drag-outd-01; 5; 7; 125000; 9614
2023-03-25 07:51:09; hka-aqm-a108;  22.03;  40.58;   430;   638; 13133;  3331;     1;     0;  -122;  -122;  -3.0; drag-outd-01; 4; 7; 125000; 9616
2023-03-25 07:51:51; hka-aqm-a108;  22.02;  40.48;   427;   638; 19838;  5205;     0;     0;  -125;  -125;  -8.2; drag-lps8-02; 7; 7; 125000; 9618
2023-03-25 07:52:49; hka-aqm-a108;  22.09;  40.31;   430;   638; 18679;  4899;     0;     0;  -120;  -120;  -9.2; drag-lps8-02; 6; 7; 125000; 9620
2023-03-25 07:53:30; hka-aqm-a108;  22.17;  40.28;   427;   643; 13106;  3385;     2;     0;  -120;  -120;  -2.5; drag-outd-01; 2; 7; 125000; 9622
2023-03-25 07:53:58; hka-aqm-a108;  22.24;  40.22;   426;   640; 17760;  4655;     0;     0;  -124;  -124;  -4.5; drag-outd-01; 4; 7; 125000; 9623
2023-03-25 07:54:30; hka-aqm-a108;  22.25;  40.02;   430;   641; 16719;  4373;     0;     0;  -127;  -127;  -8.2; drag-outd-01; 6; 7; 125000; 9624
2023-03-25 07:54:51; hka-aqm-a108;  22.24;  39.99;   428;   644; 16331;  4272;     0;     0;  -128;  -128;  -8.8; drag-outd-01; 3; 7; 125000; 9625
2023-03-25 07:55:12; hka-aqm-a108;  22.27;  39.89;   427;   644; 16226;  4249;     0;     0;  -126;  -126;  -7.5; drag-outd-01; 2; 7; 125000; 9626
2023-03-25 07:55:52; hka-aqm-a108;  22.37;  39.82;   426;   641; 15435;  4051;     0;     0;  -118;  -118;  -1.8; drag-outd-01; 2; 7; 125000; 9628
2023-03-25 07:57:36; hka-aqm-a108;  22.44;  39.62;   431;   610; 14902;  3960;     3;     0;  -125;  -125;  -6.2; drag-outd-01; 1; 7; 125000; 9631
2023-03-25 07:57:49; hka-aqm-a108;  22.45;  39.69;   429;   622;  4202;  1046;     3;     0;  -121;  -121;  -7.2; drag-lps8-02; 4; 7; 125000; 9632
2023-03-25 07:58:29; hka-aqm-a108;  22.34;  39.79;   427;   678;  2163;   535;     3;     0;  -127;  -127;  -8.2; drag-outd-01; 6; 7; 125000; 9634
2023-03-25 07:58:50; hka-aqm-a108;  22.36;  39.76;   426;   667;  1883;   460;     3;     0;  -126;  -126;  -7.2; drag-outd-01; 3; 7; 125000; 9635
2023-03-25 07:59:10; hka-aqm-a108;  22.33;  39.79;   426;   651;  1092;   274;     0;     0;  -122;  -122;  -3.8; drag-outd-01; 1; 7; 125000; 9636
