# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-06-02 00:07:11; hka-aqm-a103;  26.22;  31.71;   412;  1245;     8;     1;     1;     0;  -114;  -114;   1.2; drag-lps8-08; 1; 7; 125000; 17217
2023-06-02 00:22:17; hka-aqm-a103;  26.13;  31.78;   416;  1347;     8;     1;     2;     0;  -113;  -113; nan; drag-lps8-08; 2; 7; 125000; 17218
2023-06-02 00:37:26; hka-aqm-a103;  26.10;  31.84;   419;  1311;     8;     1;     2;     0;  -107;  -107;   2.5; drag-lps8-02; 1; 7; 125000; 17219
2023-06-02 00:45:05; hka-aqm-a103;  26.12;  31.91;   414;  1373;    11;     4;     2;     0;  -107;  -107;   4.5; drag-lps8-02; 4; 7; 125000; 17220
2023-06-02 00:56:06; hka-aqm-a103;  26.06;  31.98;   417;  1415;     8;     1;     2;     0;  -106;  -106;   4.8; drag-lps8-02; 0; 7; 125000; 17221
2023-06-02 01:11:12; hka-aqm-a103;  26.02;  31.91;   414;  1516;    11;     3;     1;     0;  -120;  -120;  -2.2; drag-outd-01; 3; 7; 125000; 17222
2023-06-02 01:26:18; hka-aqm-a103;  25.86;  32.11;   414;  1626;     8;     1;     2;     0;  -112;  -112;  -4.0; drag-outd-01; 5; 7; 125000; 17223
2023-06-02 01:41:26; hka-aqm-a103;  25.79;  32.21;   420;  1609;    11;     4;     2;     0;  -107;  -107;   1.8; drag-lps8-02; 6; 7; 125000; 17224
2023-06-02 01:56:33; hka-aqm-a103;  25.72;  32.38;   419;  1522;     8;     1;     2;     0;  -118;  -118;  -1.0; drag-lps8-08; 7; 7; 125000; 17225
2023-06-02 02:11:39; hka-aqm-a103;  25.68;  32.52;   417;  1688;    11;     4;     2;     0;  -110;  -110;   4.8; drag-outd-01; 1; 7; 125000; 17226
2023-06-02 02:26:46; hka-aqm-a103;  25.58;  32.75;   427;  1605;    11;     3;     2;     0;  -115;  -115;   2.2; drag-outd-01; 3; 7; 125000; 17227
2023-06-02 02:41:52; hka-aqm-a103;  25.48;  33.09;   422;  1706;     8;     1;     2;     0;  -113;  -113;   2.2; drag-outd-01; 4; 7; 125000; 17228
2023-06-02 02:44:05; hka-aqm-a103;  25.48;  33.12;   418;  1555;    11;     4;     2;     0;  -111;  -111;  -4.0; drag-outd-01; 5; 7; 125000; 17229
2023-06-02 02:53:24; hka-aqm-a103;  25.44;  33.25;   419;  1521;    11;     4;     2;     0;  -119;  -119;  -1.8; drag-lps8-08; 6; 7; 125000; 17230
2023-06-02 03:08:30; hka-aqm-a103;  25.38;  33.45;   419;  1635;    11;     4;     2;     0;  -112;  -112;   5.0; drag-outd-01; 7; 7; 125000; 17231
2023-06-02 03:23:36; hka-aqm-a103;  25.45;  33.42;   420;  1625;     9;     2;     2;     0;  -113;  -113;   5.2; drag-outd-01; 0; 7; 125000; 17232
2023-06-02 03:31:24; hka-aqm-a103;  25.42;  33.42;   418;  1579;     8;     1;     2;     0;  -111;  -111;   3.0; drag-outd-01; 2; 7; 125000; 17233
2023-06-02 03:36:05; hka-aqm-a103;  25.42;  33.45;   415;  1604;     8;     1;     1;     0;  -119;  -119;  -1.2; drag-lps8-08; 7; 7; 125000; 17234
2023-06-02 03:51:12; hka-aqm-a103;  25.35;  33.59;   414;  1680;     8;     1;     2;     0;  -114;  -114;   0.8; drag-lps8-08; 2; 7; 125000; 17235
2023-06-02 04:03:04; hka-aqm-a103;  25.26;  33.86;   414;  1595;     8;     1;     2;     0;  -112;  -112;   5.2; drag-outd-01; 6; 7; 125000; 17236
2023-06-02 04:18:11; hka-aqm-a103;  25.10;  34.09;   417;  1665;     8;     1;     2;     0;  -112;  -112;   5.2; drag-outd-01; 1; 7; 125000; 17237
2023-06-02 04:27:45; hka-aqm-a103;  25.07;  34.19;   416;  1544;     8;     1;     2;     0;  -108;  -108;   4.2; drag-lps8-02; 5; 7; 125000; 17238
2023-06-02 04:42:52; hka-aqm-a103;  24.95;  34.46;   414;  1742;     8;     1;     2;     0;  -105;  -105; nan; drag-lps8-02; 3; 7; 125000; 17239
2023-06-02 04:57:58; hka-aqm-a103;  24.91;  34.59;   423;  1647;    12;     4;     2;     0;  -108;  -108;   5.0; drag-lps8-02; 0; 7; 125000; 17240
2023-06-02 05:13:06; hka-aqm-a103;  24.87;  34.66;   419;  1672;    12;     4;     2;     0;  -107;  -107;   4.2; drag-lps8-02; 4; 7; 125000; 17241
2023-06-02 05:13:44; hka-aqm-a103;  24.87;  34.66;   416;  1567;     9;     1;     2;     0;  -112;  -112;   5.2; drag-outd-01; 6; 7; 125000; 17242
2023-06-02 05:22:44; hka-aqm-a103;  24.84;  34.72;   417;  1547;    11;     2;     2;     0;  -115;  -115;   1.2; drag-lps8-08; 0; 7; 125000; 17243
2023-06-02 05:37:51; hka-aqm-a103;  24.90;  34.66;   414;  1779;    16;     4;     2;     0;  -107;  -107;   3.0; drag-lps8-02; 2; 7; 125000; 17244
2023-06-02 05:52:57; hka-aqm-a103;  24.95;  34.52;   414;  1780;    24;     9;     2;     0;  -108;  -108;   4.0; drag-lps8-02; 5; 7; 125000; 17245
2023-06-02 06:08:05; hka-aqm-a103;  24.96;  34.59;   417;  1797;    39;    17;     2;     0;  -107;  -107;   4.5; drag-lps8-02; 4; 7; 125000; 17246
2023-06-02 06:23:12; hka-aqm-a103;  24.80;  34.86;   417;  1708;    50;    23;     2;     0;  -106;  -106;   2.2; drag-lps8-02; 1; 7; 125000; 17247
2023-06-02 06:24:25; hka-aqm-a103;  24.83;  34.86;   417;  1657;    53;    26;     2;     0;  -108;  -108;  -0.8; drag-lps8-02; 3; 7; 125000; 17248
2023-06-02 06:39:31; hka-aqm-a103;  24.08;  36.72;   415;  1351;   119;    34;     2;     0;  -111;  -111;   5.8; drag-outd-01; 7; 7; 125000; 17249
2023-06-02 06:54:37; hka-aqm-a103;  23.04;  38.83;   414;  1234;   145;    49;     2;     0;  -114;  -114;   0.5; drag-outd-01; 6; 7; 125000; 17250
2023-06-02 07:09:45; hka-aqm-a103;  22.27;  40.31;   411;  1173;   170;    62;     2;     0;  -107;  -107;   3.8; drag-lps8-02; 5; 7; 125000; 17251
2023-06-02 07:23:25; hka-aqm-a103;  22.20;  40.31;   416;  1161;   192;    74;     3;     0;  -113;  -113;   1.0; drag-lps8-08; 2; 7; 125000; 17252
2023-06-02 07:38:31; hka-aqm-a103;  21.82;  41.10;   406;  1104;   222;    90;     2;     1;  -123;  -123;  -3.0; drag-outd-01; 3; 7; 125000; 17253
2023-06-02 07:53:38; hka-aqm-a103;  21.61;  41.56;   408;  1108;   248;   105;     2;     1;  -114;  -114;   4.2; drag-lps8-08; 7; 7; 125000; 17254
2023-06-02 08:06:25; hka-aqm-a103;  21.50;  41.49;   405;  1066;   269;   118;     2;     1;  -113;  -113;   3.0; drag-lps8-08; 1; 7; 125000; 17255
2023-06-02 08:21:31; hka-aqm-a103;  21.70;  41.33;   419;  1059;   292;   130;     2;     0;  -114;  -114;   2.8; drag-outd-01; 4; 7; 125000; 17256
2023-06-02 08:36:37; hka-aqm-a103;  21.36;  41.95;   407;  1068;   313;   141;     2;     0;  -114;  -114;   2.0; drag-outd-01; 0; 7; 125000; 17257
