# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-09-13 00:06:46; hka-aqm-a107;  28.83;  41.59;   417;  1384;     7;     1;     3;    15;  -121;  -121;  -2.2; drag-outd-01; 3; 7; 125000; 12149
2023-09-13 00:21:59; hka-aqm-a107;  28.80;  42.24;   420;  1312;     7;     1;     3;    15;  -126;  -126;  -6.5; drag-outd-01; 0; 7; 125000; 12150
2023-09-13 00:37:12; hka-aqm-a107;  28.71;  42.83;   420;  1344;     7;     1;     3;    15;  -127;  -127;  -7.8; drag-outd-01; 4; 7; 125000; 12151
2023-09-13 00:52:40; hka-aqm-a107;  28.66;  43.29;   416;  1347;     7;     1;     3;    15;  -125;  -125;  -6.0; drag-outd-01; 1; 7; 125000; 12153
2023-09-13 02:09:13; hka-aqm-a107;  28.52;  44.20;   422;  1409;     7;     1;     3;    15;  -122;  -122;  -6.8; drag-outd-01; 3; 7; 125000; 12158
2023-09-13 03:10:26; hka-aqm-a107;  28.43;  44.46;   419;  1544;     7;     1;     3;    15;  -126;  -126;  -5.5; drag-outd-01; 3; 7; 125000; 12162
2023-09-13 04:27:20; hka-aqm-a107;  28.18;  45.10;   425;  1437;     7;     1;     3;    15;  -120;  -120;  -6.5; drag-outd-01; 4; 7; 125000; 12167
2023-09-13 06:28:13; hka-aqm-a107;  28.22;  46.94;   438;  1905;     7;     1;     2;     0;  -120;  -120;  -6.0; drag-outd-01; 3; 7; 125000; 12175
2023-09-13 06:43:39; hka-aqm-a107;  28.19;  46.49;   423;  1723;    10;     1;     3;     0;  -122;  -122;  -8.0; drag-outd-01; 4; 7; 125000; 12176
2023-09-13 07:14:19; hka-aqm-a107;  27.92;  46.59;   421;  1398;    49;    15;     3;     0;  -120;  -120;  -5.0; drag-outd-01; 3; 7; 125000; 12178
2023-09-13 07:29:39; hka-aqm-a107;  27.86;  46.81;   419;  1421;    76;    20;     3;     0;  -124;  -124;  -9.5; drag-lps8-07; 0; 7; 125000; 12179
2023-09-13 07:44:53; hka-aqm-a107;  27.85;  47.10;   421;  1444;    66;    15;     3;     1;  -119;  -119;  -4.8; drag-outd-01; 4; 7; 125000; 12180
2023-09-13 08:00:13; hka-aqm-a107;  27.83;  47.52;   420;  1420;    34;     8;     3;     1;  -122;  -122;  -6.5; drag-outd-01; 3; 7; 125000; 12181
2023-09-13 08:46:12; hka-aqm-a107;  27.73;  48.26;   425;  1413;    53;    11;     3;     1;  -120;  -120;  -5.8; drag-outd-01; 4; 7; 125000; 12184
2023-09-13 09:01:39; hka-aqm-a107;  27.62;  48.64;   427;  1392;    50;    10;     3;     1;  -122;  -122;  -7.0; drag-lps8-02; 0; 7; 125000; 12185
2023-09-13 09:47:32; hka-aqm-a107;  27.65;  48.77;   432;  1408;    48;    10;     3;     6;  -121;  -121;  -6.2; drag-outd-01; 3; 7; 125000; 12189
2023-09-13 10:18:12; hka-aqm-a107;  27.66;  48.93;   429;  1481;    96;    21;     3;     7;  -118;  -118;  -4.5; drag-outd-01; 3; 7; 125000; 12191
2023-09-13 11:04:12; hka-aqm-a107;  27.72;  49.47;   436;  1544;   230;    50;     3;     7;  -126;  -126;  -8.8; drag-lps8-02; 0; 7; 125000; 12194
2023-09-13 11:19:32; hka-aqm-a107;  27.75;  49.38;   433;  1446;   283;    64;     3;     7;  -122;  -122;  -6.8; drag-outd-01; 3; 7; 125000; 12195
2023-09-13 11:34:59; hka-aqm-a107;  27.71;  49.60;   434;  1393;   266;    61;     4;     8;  -120;  -120;  -7.0; drag-outd-01; 4; 7; 125000; 12196
2023-09-13 11:50:12; hka-aqm-a107;  27.78;  49.38;   430;  1426;   217;    48;     4;     8;  -121;  -121;  -5.8; drag-outd-01; 3; 7; 125000; 12197
2023-09-13 12:21:06; hka-aqm-a107;  27.86;  49.28;   423;  1313;   378;    79;     4;     8;  -122;  -122;  -8.5; drag-lps8-02; 5; 7; 125000; 12199
2023-09-13 12:36:12; hka-aqm-a107;  27.96;  49.06;   427;  1346;   410;    84;     4;     8;  -122;  -122;  -3.5; drag-outd-01; 4; 7; 125000; 12200
2023-09-13 12:51:32; hka-aqm-a107;  28.08;  48.77;   428;  1391;   281;    63;     4;     8;  -122;  -122;  -7.5; drag-outd-01; 3; 7; 125000; 12201
2023-09-13 13:22:12; hka-aqm-a107;  28.03;  48.83;   437;  1427;   226;    49;     4;     8;  -125;  -125;  -7.0; drag-outd-01; 1; 7; 125000; 12203
2023-09-13 13:52:59; hka-aqm-a107;  28.16;  48.55;   438;  1490;   349;    74;     4;     8;  -120;  -120;  -3.0; drag-outd-01; 4; 7; 125000; 12205
2023-09-13 14:08:12; hka-aqm-a107;  28.12;  48.58;   428;  1382;   312;    68;     4;     8;  -123;  -123;  -7.8; drag-lps8-07; 0; 7; 125000; 12206
