# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-06-01 00:02:35; hka-aqm-a108;  26.86;  26.63;   443;  2324;     6;     1;     2;    10;  -122;  -122;  -8.2; drag-lps8-07; 1; 8; 125000; 23386
2023-06-01 00:09:15; hka-aqm-a108;  26.82;  26.70;   446;  2122;     9;     3;     2;    10;  -128;  -128; -11.5; drag-lps8-02; 0; 8; 125000; 23387
2023-06-01 00:24:21; hka-aqm-a108;  26.80;  26.90;   459;  2289;     9;     3;     2;     0;  -122;  -122;  -7.0; drag-lps8-07; 2; 8; 125000; 23388
2023-06-01 00:39:28; hka-aqm-a108;  26.76;  27.04;   447;  2270;     8;     2;     2;     0;  -125;  -125;  -7.8; drag-lps8-07; 7; 8; 125000; 23389
2023-06-01 00:54:36; hka-aqm-a108;  26.72;  27.45;   450;  2301;     6;     2;     2;     0;  -121;  -121;  -2.8; drag-outd-01; 3; 8; 125000; 23390
2023-06-01 01:09:42; hka-aqm-a108;  26.70;  27.51;   460;  2287;     9;     3;     2;     0;  -121;  -121;  -6.8; drag-lps8-02; 5; 8; 125000; 23391
2023-06-01 01:24:48; hka-aqm-a108;  26.68;  27.58;   458;  2286;     6;     0;     1;     0;  -124;  -124;  -7.2; drag-lps8-07; 6; 8; 125000; 23392
2023-06-01 01:39:55; hka-aqm-a108;  26.64;  27.68;   456;  2209;     8;     3;     2;     0;  -131;  -131; -12.0; drag-lps8-08; 2; 8; 125000; 23393
2023-06-01 01:55:01; hka-aqm-a108;  26.60;  27.75;   465;  2286;     6;     0;     2;     0;  -128;  -128;  -8.5; drag-outd-01; 7; 8; 125000; 23394
2023-06-01 02:10:08; hka-aqm-a108;  26.54;  27.99;   459;  2235;     6;     0;     2;     0;  -121;  -121;  -3.0; drag-outd-01; 3; 8; 125000; 23395
2023-06-01 02:25:16; hka-aqm-a108;  26.49;  28.16;   464;  2253;     6;     0;     2;     0;  -124;  -124;  -8.5; drag-lps8-07; 4; 8; 125000; 23396
2023-06-01 02:40:22; hka-aqm-a108;  26.42;  28.26;   471;  2235;     8;     2;     2;     0;  -126;  -126; -11.5; drag-lps8-02; 0; 8; 125000; 23397
2023-06-01 02:55:28; hka-aqm-a108;  26.40;  28.36;   466;  2198;     6;     1;     1;     0;  -124;  -124;  -5.0; drag-outd-01; 6; 8; 125000; 23398
2023-06-01 03:10:35; hka-aqm-a108;  26.34;  28.64;   474;  2199;     8;     2;     2;     0;  -122;  -122;  -8.8; drag-lps8-07; 1; 8; 125000; 23399
2023-06-01 03:25:42; hka-aqm-a108;  26.33;  28.74;   478;  2139;     9;     3;     2;     0;  -124;  -124;  -9.5; drag-lps8-07; 5; 8; 125000; 23400
2023-06-01 03:40:48; hka-aqm-a108;  26.24;  28.87;   473;  2109;     7;     2;     2;     0;  -123;  -123;  -3.0; drag-outd-01; 3; 8; 125000; 23401
2023-06-01 03:55:55; hka-aqm-a108;  26.19;  28.81;   471;  2087;     6;     0;     2;     0;  -121;  -121;  -8.0; drag-lps8-02; 5; 8; 125000; 23402
2023-06-01 04:11:01; hka-aqm-a108;  26.17;  29.01;   477;  2077;     6;     2;     2;     0;  -124;  -124;  -7.0; drag-lps8-07; 6; 8; 125000; 23403
2023-06-01 04:26:08; hka-aqm-a108;  26.13;  29.01;   482;  2055;     6;     0;     0;     0;  -122;  -122;  -7.0; drag-lps8-07; 1; 8; 125000; 23404
2023-06-01 04:41:16; hka-aqm-a108;  26.11;  29.11;   477;  2067;     6;     0;     2;     0;  -124;  -124;  -7.0; drag-lps8-07; 7; 8; 125000; 23405
2023-06-01 04:56:23; hka-aqm-a108;  26.07;  29.21;   480;  1929;     7;     1;     2;     0;  -130;  -130; -11.5; drag-outd-01; 0; 8; 125000; 23406
2023-06-01 05:11:29; hka-aqm-a108;  26.04;  29.28;   474;  2036;    15;     3;     1;     0;  -122;  -122;  -7.5; drag-lps8-07; 2; 8; 125000; 23407
2023-06-01 05:26:36; hka-aqm-a108;  25.98;  29.42;   477;  2047;    39;     8;     2;     0;  -127;  -127; -10.2; drag-lps8-07; 4; 8; 125000; 23408
2023-06-01 05:41:43; hka-aqm-a108;  25.92;  29.48;   478;  1999;    87;    20;     2;     0;  -125;  -125;  -6.8; drag-outd-01; 6; 8; 125000; 23409
2023-06-01 05:56:49; hka-aqm-a108;  25.92;  29.55;   480;  1929;   138;    28;     2;     0;  -124;  -124;  -9.0; drag-lps8-02; 4; 8; 125000; 23410
2023-06-01 06:11:55; hka-aqm-a108;  25.86;  29.96;   484;  1962;   210;    42;     2;     0;  -121;  -121;  -8.0; drag-lps8-02; 5; 8; 125000; 23411
