# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-07-09 00:13:41; hka-aqm-a112;  29.20;  39.49;   444;  1835;     7;     1;     1;     0;  -123;  -123;  -3.8; drag-outd-01; 3; 11; 125000; 30123
2023-07-09 00:26:06; hka-aqm-a112;  29.16;  39.59;   448;  1697;     7;     1;     3;     1;  -124;  -124;  -3.8; drag-outd-01; 4; 11; 125000; 30124
2023-07-09 00:41:13; hka-aqm-a112;  29.10;  39.69;   448;  1841;     7;     1;     1;     0;  -115;  -115;   1.5; drag-outd-01; 0; 11; 125000; 30125
2023-07-09 00:42:43; hka-aqm-a112;  29.10;  39.69;   451;  1672;    10;     3;     2;     0;  -124;  -124;  -3.8; drag-outd-01; 3; 11; 125000; 30126
2023-07-09 00:52:07; hka-aqm-a112;  29.06;  39.79;   451;  1796;     7;     1;     2;     0;  -114;  -114;   1.5; drag-lps8-08; 5; 11; 125000; 30127
2023-07-09 01:07:14; hka-aqm-a112;  28.99;  39.89;   453;  1803;     7;     1;     1;     0;  -119;  -119;   2.2; drag-lps8-08; 7; 11; 125000; 30128
2023-07-09 01:12:26; hka-aqm-a112;  28.97;  39.95;   451;  1643;    10;     3;     2;     1;  -116;  -116;  -2.5; drag-lps8-02; 2; 11; 125000; 30129
2023-07-09 01:18:46; hka-aqm-a112;  28.95;  39.95;   455;  1686;     7;     1;     2;     0;  -122;  -122;  -4.0; drag-outd-01; 4; 11; 125000; 30130
2023-07-09 01:33:53; hka-aqm-a112;  28.88;  40.08;   451;  1810;     7;     2;     1;     0;  -113;  -113;   1.2; drag-lps8-08; 6; 11; 125000; 30131
2023-07-09 01:49:00; hka-aqm-a112;  28.82;  40.25;   453;  1722;    10;     3;     1;     0;  -120;  -120;  -4.5; drag-lps8-02; 1; 11; 125000; 30132
2023-07-09 02:04:07; hka-aqm-a112;  28.77;  40.41;   453;  1839;     9;     2;     2;     0;  -113;  -113;   1.8; drag-lps8-08; 6; 11; 125000; 30133
2023-07-09 02:19:14; hka-aqm-a112;  28.70;  40.48;   458;  1806;    10;     3;     0;     0;  -121;  -121; -10.2; drag-outd-01; 7; 11; 125000; 30134
2023-07-09 02:34:21; hka-aqm-a112;  28.68;  40.64;   460;  1808;     7;     1;     2;     0;  -115;  -115;  -0.8; drag-lps8-08; 3; 11; 125000; 30135
2023-07-09 02:49:28; hka-aqm-a112;  28.62;  40.77;   455;  1775;    10;     3;     1;     0;  -117;  -117;   1.5; drag-lps8-08; 5; 11; 125000; 30136
2023-07-09 03:04:36; hka-aqm-a112;  28.55;  40.94;   466;  1763;     7;     1;     2;     0;  -122;  -122;  -4.2; drag-outd-01; 4; 11; 125000; 30137
2023-07-09 03:11:05; hka-aqm-a112;  28.57;  40.97;   461;  1598;    10;     3;     2;     0;  -115;  -115;   2.8; drag-outd-01; 2; 11; 125000; 30138
2023-07-09 03:23:05; hka-aqm-a112;  28.52;  41.10;   472;  1624;    10;     3;     2;     0;  -116;  -116;   2.2; drag-outd-01; 0; 11; 125000; 30139
2023-07-09 03:29:25; hka-aqm-a112;  28.48;  41.13;   470;  1628;     7;     1;     2;     0;  -120;  -120;  -4.8; drag-lps8-02; 1; 11; 125000; 30140
2023-07-09 03:32:47; hka-aqm-a112;  28.48;  41.20;   463;  1601;     7;     1;     1;     0;  -124;  -124;  -3.8; drag-outd-01; 3; 11; 125000; 30141
2023-07-09 03:42:06; hka-aqm-a112;  28.45;  41.26;   465;  1630;    10;     3;     2;     0;  -117;  -117;   3.8; drag-lps8-08; 0; 11; 125000; 30142
2023-07-09 03:57:13; hka-aqm-a112;  28.45;  41.33;   478;  1749;     7;     1;     2;     0;  -117;  -117;   1.2; drag-outd-01; 7; 11; 125000; 30143
2023-07-09 03:59:06; hka-aqm-a112;  28.45;  41.40;   472;  1584;     9;     2;     2;     0;  -115;  -115;   1.5; drag-lps8-08; 4; 11; 125000; 30144
2023-07-09 04:14:13; hka-aqm-a112;  28.40;  41.53;   473;  1745;     7;     1;     0;     0;  -110;  -110;   4.0; drag-lps8-08; 1; 11; 125000; 30145
2023-07-09 04:29:20; hka-aqm-a112;  28.34;  41.59;   477;  1620;     7;     1;     1;     0;  -127;  -127;  -8.2; drag-outd-01; 5; 11; 125000; 30146
2023-07-09 04:44:27; hka-aqm-a112;  28.29;  41.76;   478;  1736;     7;     1;     0;     0;  -120;  -120;  -5.5; drag-lps8-02; 6; 11; 125000; 30147
2023-07-09 04:56:25; hka-aqm-a112;  28.28;  41.85;   487;  1654;     7;     1;     2;     0;  -118;  -118;  -2.5; drag-lps8-02; 2; 11; 125000; 30148
2023-07-09 05:11:32; hka-aqm-a112;  28.23;  42.02;   481;  1692;     9;     2;     1;     0;  -118;  -118;  -4.2; drag-lps8-02; 3; 11; 125000; 30149
2023-07-09 05:26:39; hka-aqm-a112;  28.18;  42.08;   488;  1707;    11;     2;     3;     0;  -119;  -119;  -8.2; drag-outd-01; 7; 11; 125000; 30150
2023-07-09 05:41:47; hka-aqm-a112;  28.16;  42.24;   499;  1707;    17;     5;     3;     0;  -114;  -114;   1.0; drag-lps8-08; 5; 11; 125000; 30151
2023-07-09 05:47:46; hka-aqm-a112;  28.18;  42.21;   491;  1508;    22;     7;     3;     0;  -123;  -123;  -8.2; drag-outd-01; 4; 11; 125000; 30152
2023-07-09 06:01:06; hka-aqm-a112;  28.13;  42.38;   492;  1532;    38;    17;     2;     0;  -117;  -117;  -2.2; drag-lps8-02; 2; 11; 125000; 30153
2023-07-09 06:16:13; hka-aqm-a112;  28.14;  42.38;   503;  1680;    53;    24;     2;     1;  -119;  -119;  -4.8; drag-outd-01; 0; 11; 125000; 30154
2023-07-09 06:31:20; hka-aqm-a112;  28.12;  42.51;   498;  1607;    71;    33;     2;     0;  -111;  -111;   4.0; drag-lps8-08; 1; 11; 125000; 30155
2023-07-09 06:46:27; hka-aqm-a112;  28.14;  42.60;   500;  1612;    86;    40;     1;     0;  -116;  -116;  -8.0; drag-outd-01; 6; 11; 125000; 30156
2023-07-09 07:01:34; hka-aqm-a112;  28.19;  42.57;   503;  1617;   100;    47;     1;     0;  -120;  -120;  -4.5; drag-lps8-02; 5; 11; 125000; 30157
2023-07-09 07:16:41; hka-aqm-a112;  28.20;  42.67;   498;  1541;   120;    58;     2;     1;  -119;  -119;   4.0; drag-outd-01; 7; 11; 125000; 30158
2023-07-09 07:30:45; hka-aqm-a112;  28.21;  42.60;   502;  1443;   131;    63;     3;     1;  -118;  -118;  -3.8; drag-lps8-02; 6; 11; 125000; 30159
2023-07-09 07:45:52; hka-aqm-a112;  28.35;  42.44;   498;  1607;   152;    74;     3;     0;  -113;  -113;   4.5; drag-outd-01; 0; 11; 125000; 30160
2023-07-09 08:01:00; hka-aqm-a112;  28.37;  42.24;   501;  1613;   168;    83;     3;     0;  -110;  -110;   5.8; drag-outd-01; 1; 11; 125000; 30161
2023-07-09 08:16:07; hka-aqm-a112;  28.43;  42.24;   506;  1579;   179;    90;     3;     0;  -114;  -114;  -2.5; drag-outd-01; 4; 11; 125000; 30162
2023-07-09 08:31:14; hka-aqm-a112;  28.51;  42.47;   501;  1634;   199;   100;     3;     0;  -117;  -117;  -3.0; drag-lps8-02; 2; 11; 125000; 30163
2023-07-09 08:46:21; hka-aqm-a112;  28.58;  42.31;   500;  1565;   237;   118;     1;     0;  -122;  -122;  -7.5; drag-lps8-02; 3; 11; 125000; 30164
2023-07-09 09:01:28; hka-aqm-a112;  28.82;  42.24;   493;  1579;   260;   129;     3;     0;  -108;  -108;   0.8; drag-outd-01; 2; 11; 125000; 30165
2023-07-09 09:16:35; hka-aqm-a112;  28.85;  42.28;   490;  1503;   286;   142;     1;     0;  -111;  -111;  -0.2; drag-outd-01; 1; 11; 125000; 30166
2023-07-09 09:31:42; hka-aqm-a112;  28.95;  42.18;   489;  1584;   311;   156;     3;     0;  -114;  -114;   3.5; drag-lps8-08; 0; 11; 125000; 30167
2023-07-09 09:46:49; hka-aqm-a112;  29.10;  41.98;   483;  1560;   342;   171;     3;     0;  -120;  -120;  -2.8; drag-lps8-02; 7; 11; 125000; 30168
2023-07-09 10:01:56; hka-aqm-a112;  29.19;  41.92;   490;  1425;   370;   184;     3;     0;  -112;  -112;   3.2; drag-lps8-08; 6; 11; 125000; 30169
2023-07-09 10:17:03; hka-aqm-a112;  29.28;  41.79;   475;  1480;   403;   200;     1;     0;  -117;  -117;   3.5; drag-lps8-08; 5; 11; 125000; 30170
2023-07-09 10:32:11; hka-aqm-a112;  29.45;  41.56;   472;  1419;   445;   222;     3;     0;  -120;  -120;  -5.2; drag-lps8-02; 4; 11; 125000; 30171
2023-07-09 10:47:18; hka-aqm-a112;  29.49;  41.40;   459;  1457;   483;   240;     1;     0;  -115;  -115;  -2.2; drag-outd-01; 3; 11; 125000; 30172
2023-07-09 11:02:27; hka-aqm-a112;  29.69;  41.30;   464;  1440;   521;   259;     3;     0;  -110;  -110;  -1.0; drag-outd-01; 1; 11; 125000; 30173
2023-07-09 11:17:34; hka-aqm-a112;  29.80;  41.07;   447;  1444;   563;   280;     2;     0;  -115;  -115;  -1.2; drag-outd-01; 3; 11; 125000; 30174
2023-07-09 11:32:41; hka-aqm-a112;  30.01;  40.87;   444;  1399;   604;   299;     3;     0;  -114;  -114;  -0.2; drag-lps8-02; 0; 11; 125000; 30175
2023-07-09 11:47:48; hka-aqm-a112;  30.20;  40.61;   438;  1411;   641;   318;     3;     0;  -113;  -113; -10.2; drag-outd-01; 6; 11; 125000; 30176
2023-07-09 12:02:55; hka-aqm-a112;  30.24;  40.38;   438;  1389;   652;   323;     3;     0;  -108;  -108;   1.0; drag-outd-01; 2; 11; 125000; 30177
2023-07-09 12:18:02; hka-aqm-a112;  30.38;  40.15;   432;  1446;   660;   327;     3;     0;  -124;  -124;  -5.0; drag-lps8-02; 7; 11; 125000; 30178
2023-07-09 12:33:09; hka-aqm-a112;  30.56;  39.95;   423;  1354;   704;   350;     3;     0;  -121;  -121;  -4.2; drag-lps8-02; 4; 11; 125000; 30179
2023-07-09 12:48:16; hka-aqm-a112;  30.60;  39.69;   425;  1418;   711;   355;     3;     0;  -121;  -121;  -6.2; drag-lps8-02; 5; 11; 125000; 30180
2023-07-09 13:03:23; hka-aqm-a112;  30.80;  39.39;   417;  1217;   713;   357;     3;     0;  -111;  -111;   3.5; drag-lps8-08; 6; 11; 125000; 30181
2023-07-09 13:18:32; hka-aqm-a112;  30.80;  39.07;   417;  1382;   743;   372;     3;     0;  -117;  -117;   3.8; drag-lps8-08; 5; 11; 125000; 30182
2023-07-09 13:33:39; hka-aqm-a112;  30.92;  38.77;   412;  1362;   735;   366;     3;     0;  -121;  -121;  -2.8; drag-lps8-02; 7; 11; 125000; 30183
2023-07-09 13:48:46; hka-aqm-a112;  31.00;  38.51;   406;  1270;   703;   348;     3;     0;  -115;  -115;   4.2; drag-lps8-08; 4; 11; 125000; 30184
2023-07-09 14:03:53; hka-aqm-a112;  30.98;  38.11;   411;  1285;   733;   364;     1;     0;  -111;  -111;   3.2; drag-lps8-08; 2; 11; 125000; 30185
2023-07-09 14:19:00; hka-aqm-a112;  31.11;  37.58;   406;  1307;   679;   335;     1;     0;  -119;  -119;   3.2; drag-lps8-08; 0; 11; 125000; 30186
2023-07-09 14:28:25; hka-aqm-a112;  31.14;  37.12;   405;  1314;   706;   348;     3;     0;  -121;  -121;  -6.2; drag-lps8-02; 1; 11; 125000; 30187
2023-07-09 14:29:55; hka-aqm-a112;  31.10;  37.18;   408;  1304;   618;   303;     0;     0;  -122;  -122;  -7.0; drag-lps8-02; 3; 11; 125000; 30188
2023-07-09 14:31:26; hka-aqm-a112;  31.12;  37.15;   413;  1374;   748;   370;     1;     0;  -111;  -111;   4.0; drag-lps8-08; 2; 11; 125000; 30189
2023-07-09 14:33:06; hka-aqm-a112;  31.08;  37.12;   406;  1373;   621;   304;     1;     0;  -116;  -116;  -2.0; drag-outd-01; 3; 11; 125000; 30190
2023-07-09 14:34:36; hka-aqm-a112;  31.11;  37.12;   405;  1368;   699;   345;     0;     0;  -113;  -113;  -5.0; drag-outd-01; 5; 11; 125000; 30191
2023-07-09 14:40:06; hka-aqm-a112;  31.15;  36.92;   402;  1316;   695;   342;     2;     0;  -110;  -110; -11.8; drag-outd-01; 6; 11; 125000; 30192
2023-07-09 14:41:36; hka-aqm-a112;  31.18;  36.85;   402;  1282;   639;   315;     0;     0;  -113;  -113;   3.0; drag-lps8-08; 7; 11; 125000; 30193
2023-07-09 14:46:45; hka-aqm-a112;  31.13;  36.69;   407;  1296;   736;   365;     0;     0;  -122;  -122;  -5.0; drag-lps8-02; 4; 11; 125000; 30194
2023-07-09 14:48:45; hka-aqm-a112;  31.09;  36.59;   402;  1326;   611;   301;     0;     0;  -123;  -123;  -5.2; drag-lps8-02; 0; 11; 125000; 30195
2023-07-09 15:03:52; hka-aqm-a112;  31.25;  36.25;   405;  1358;   624;   308;     1;     0;  -114;  -114;   3.0; drag-lps8-08; 1; 11; 125000; 30196
2023-07-09 15:14:25; hka-aqm-a112;  31.23;  35.89;   400;  1286;   646;   320;     1;     0;  -113;  -113;   3.0; drag-lps8-08; 5; 11; 125000; 30197
2023-07-09 15:20:46; hka-aqm-a112;  31.22;  35.79;   403;  1286;   673;   333;     1;     0;  -119;  -119;  -4.8; drag-outd-01; 3; 11; 125000; 30198
2023-07-09 15:22:16; hka-aqm-a112;  31.23;  35.79;   401;  1283;   579;   284;     0;     0;  -114;  -114;  -6.0; drag-outd-01; 0; 11; 125000; 30199
2023-07-09 15:36:06; hka-aqm-a112;  31.12;  35.59;   401;  1276;   464;   228;     1;     0;  -118;  -118; -13.2; drag-outd-01; 6; 11; 125000; 30200
2023-07-09 15:37:36; hka-aqm-a112;  31.14;  35.59;   403;  1277;   580;   288;     1;     0;  -113;  -113;   2.8; drag-lps8-08; 7; 11; 125000; 30201
2023-07-09 15:42:25; hka-aqm-a112;  31.18;  35.49;   399;  1239;   487;   238;     1;     0;  -117;  -117;   3.2; drag-lps8-08; 4; 11; 125000; 30202
2023-07-09 15:43:55; hka-aqm-a112;  31.16;  35.46;   399;  1249;   712;   356;     0;     0;  -110;  -110;  -2.2; drag-outd-01; 1; 11; 125000; 30203
2023-07-09 15:48:46; hka-aqm-a112;  31.16;  35.39;   403;  1310;   492;   242;     2;     0;  -113;  -113;   3.8; drag-lps8-08; 4; 11; 125000; 30205
2023-07-09 15:50:17; hka-aqm-a112;  31.15;  35.39;   400;  1298;   548;   271;     0;     0;  -117;  -117;  -6.0; drag-outd-01; 5; 11; 125000; 30206
2023-07-09 15:51:47; hka-aqm-a112;  31.13;  35.32;   403;  1213;   717;   359;     2;     0;  -122;  -122;  -7.5; drag-lps8-02; 3; 11; 125000; 30207
2023-07-09 15:53:18; hka-aqm-a112;  31.19;  35.36;   402;  1235;   657;   329;     1;     0;  -115;  -115;   4.0; drag-lps8-08; 1; 11; 125000; 30208
2023-07-09 15:54:48; hka-aqm-a112;  31.18;  35.36;   400;  1213;   674;   336;     0;     0;  -114;  -114;   2.5; drag-lps8-08; 7; 11; 125000; 30209
2023-07-09 16:09:55; hka-aqm-a112;  31.21;  35.49;   398;  1251;   485;   236;     2;     0;  -116;  -116;  -1.0; drag-lps8-02; 2; 11; 125000; 30210
2023-07-09 16:25:03; hka-aqm-a112;  31.29;  35.32;   396;  1232;   681;   338;     2;     0;  -115;  -115;  -3.0; drag-lps8-02; 6; 11; 125000; 30211
2023-07-09 16:40:11; hka-aqm-a112;  31.30;  35.32;   396;  1249;   590;   291;     2;     0;  -115;  -115;  -6.0; drag-outd-01; 0; 11; 125000; 30212
2023-07-09 16:55:18; hka-aqm-a112;  31.26;  35.19;   400;  1236;   313;   147;     2;     0;  -116;  -116;  -3.5; drag-outd-01; 3; 11; 125000; 30213
2023-07-09 17:10:25; hka-aqm-a112;  31.26;  35.19;   395;  1243;   240;   112;     2;     0;  -115;  -115;   2.2; drag-lps8-08; 6; 11; 125000; 30214
2023-07-09 17:25:32; hka-aqm-a112;  31.22;  35.26;   396;  1209;   183;    84;     2;     0;  -121;  -121;  -3.2; drag-lps8-02; 7; 11; 125000; 30215
2023-07-09 17:40:39; hka-aqm-a112;  31.14;  35.36;   397;  1195;   164;    77;     2;     0;  -113;  -113;   4.5; drag-lps8-08; 2; 11; 125000; 30216
2023-07-09 17:55:47; hka-aqm-a112;  31.16;  35.52;   402;  1317;   164;    78;     2;     0;  -112;  -112;  -3.5; drag-outd-01; 0; 11; 125000; 30217
2023-07-09 18:10:54; hka-aqm-a112;  31.09;  35.89;   393;  1287;   171;    82;     2;     0;  -115;  -115;   4.2; drag-lps8-08; 1; 11; 125000; 30218
