# Logfile LoRaWAN TTN/TTS V3 logger version hka-log V 1.1
date_time;device_id;tmp;hum;CO2;VOC;vis;IR;WIFI;BLE;rssi;channel_rssi;snr;gateway;channel_index;spreading_factor;bandwidth;f_cnt
2023-09-11 00:11:33; hka-aqm-a108;  28.50;  43.03;   448;  2794;     6;     0;     2;     0;  -118;  -118;  -6.5; drag-outd-01; 2; 8; 125000; 12870
2023-09-11 00:41:45; hka-aqm-a108;  28.40;  43.16;   455;  2798;     6;     0;     2;     0;  -120;  -120;  -6.5; drag-outd-01; 1; 8; 125000; 12872
2023-09-11 00:56:53; hka-aqm-a108;  28.37;  43.29;   457;  2782;     6;     0;     2;     0;  -120;  -120;  -7.0; drag-outd-01; 4; 8; 125000; 12873
2023-09-11 01:12:00; hka-aqm-a108;  28.34;  43.29;   457;  2769;     6;     0;     2;     0;  -119;  -119;  -7.2; drag-outd-01; 0; 8; 125000; 12874
2023-09-11 01:27:06; hka-aqm-a108;  28.29;  43.38;   459;  2763;     6;     2;     1;     0;  -127;  -127;  -9.0; drag-lps8-08; 6; 8; 125000; 12875
2023-09-11 01:42:14; hka-aqm-a108;  28.24;  43.51;   464;  2699;     6;     2;     2;     0;  -123;  -123;  -5.8; drag-outd-01; 3; 8; 125000; 12876
2023-09-11 01:57:20; hka-aqm-a108;  28.20;  43.61;   467;  2727;     7;     1;     0;     0;  -121;  -121;  -7.2; drag-outd-01; 4; 8; 125000; 12877
2023-09-11 02:12:26; hka-aqm-a108;  28.18;  43.64;   476;  2697;     6;     1;     0;     0;  -120;  -120;  -9.0; drag-outd-01; 7; 8; 125000; 12878
2023-09-11 02:27:33; hka-aqm-a108;  28.14;  43.68;   471;  2676;     9;     3;     2;     0;  -119;  -119;  -6.0; drag-outd-01; 1; 8; 125000; 12879
2023-09-11 02:42:39; hka-aqm-a108;  28.07;  43.87;   477;  2673;     6;     0;     0;     0;  -121;  -121;  -7.2; drag-outd-01; 0; 8; 125000; 12880
2023-09-11 02:57:45; hka-aqm-a108;  28.05;  43.94;   479;  2711;     9;     3;     2;     0;  -131;  -131; -12.2; drag-lps8-08; 5; 8; 125000; 12881
2023-09-11 03:12:52; hka-aqm-a108;  28.00;  44.00;   481;  2587;     6;     0;     2;     0;  -130;  -130; -10.2; drag-lps8-08; 6; 8; 125000; 12882
2023-09-11 03:27:58; hka-aqm-a108;  27.96;  44.10;   485;  2574;     9;     3;     1;     0;  -129;  -129; -11.0; drag-lps8-08; 2; 8; 125000; 12883
2023-09-11 03:43:05; hka-aqm-a108;  27.93;  44.13;   491;  2542;     6;     0;     0;     0;  -125;  -125; -10.8; drag-lps8-02; 0; 8; 125000; 12884
2023-09-11 03:58:13; hka-aqm-a108;  27.89;  44.20;   490;  2392;     6;     1;     2;     0;  -120;  -120;  -7.0; drag-outd-01; 4; 8; 125000; 12885
2023-09-11 04:13:32; hka-aqm-a108;  27.85;  44.26;   497;  2506;     6;     1;     2;     0;  -128;  -128; -10.2; drag-lps8-08; 6; 8; 125000; 12887
2023-09-11 04:28:53; hka-aqm-a108;  27.86;  44.23;   499;  2495;     6;     0;     2;     0;  -123;  -123;  -9.8; drag-outd-01; 7; 8; 125000; 12889
2023-09-11 04:43:59; hka-aqm-a108;  27.82;  44.26;   498;  2494;     6;     2;     1;     0;  -120;  -120;  -6.2; drag-outd-01; 1; 8; 125000; 12890
2023-09-11 04:59:06; hka-aqm-a108;  27.77;  44.39;   503;  2562;     8;     3;     1;     0;  -123;  -123;  -6.0; drag-outd-01; 3; 8; 125000; 12891
2023-09-11 05:14:12; hka-aqm-a108;  27.74;  44.46;   504;  2480;     6;     0;     2;     0;  -120;  -120;  -2.2; drag-outd-01; 1; 8; 125000; 12892
2023-09-11 05:29:19; hka-aqm-a108;  27.70;  44.52;   507;  2433;     6;     1;     1;     0;  -129;  -129; -10.0; drag-lps8-08; 6; 8; 125000; 12893
2023-09-11 05:32:13; hka-aqm-a108;  27.70;  44.55;   509;  2276;     9;     3;     2;     0;  -120;  -120;  -8.5; drag-outd-01; 7; 8; 125000; 12894
2023-09-11 05:47:20; hka-aqm-a108;  27.64;  44.59;   509;  2433;     6;     2;     0;     0;  -122;  -122; -10.8; drag-outd-01; 5; 8; 125000; 12895
2023-09-11 06:02:26; hka-aqm-a108;  27.60;  44.71;   516;  2412;     7;     1;     1;     0;  -121;  -121;  -7.2; drag-outd-01; 4; 8; 125000; 12896
2023-09-11 06:17:32; hka-aqm-a108;  27.65;  44.78;   516;  2403;     8;     1;     3;     0;  -123;  -123;  -9.0; drag-outd-01; 2; 8; 125000; 12897
2023-09-11 06:24:12; hka-aqm-a108;  27.64;  45.62;   521;  2378;    10;     2;     1;     0;  -122;  -122;  -4.8; drag-outd-01; 3; 8; 125000; 12899
2023-09-11 06:39:18; hka-aqm-a108;  27.59;  45.43;   520;  2365;    26;     5;     0;     0;  -130;  -130; -10.0; drag-lps8-08; 7; 8; 125000; 12900
2023-09-11 06:54:24; hka-aqm-a108;  27.52;  44.65;   532;  2219;    79;    21;     1;     0;  -125;  -125; -10.0; drag-outd-01; 0; 8; 125000; 12901
2023-09-11 07:09:32; hka-aqm-a108;  27.16;  44.26;   534;  1925;   206;    54;     2;     0;  -122;  -122;  -6.5; drag-outd-01; 1; 8; 125000; 12902
2023-09-11 07:24:38; hka-aqm-a108;  27.03;  44.39;   537;  1857;   673;   190;     1;     0;  -121;  -121;  -7.0; drag-outd-01; 2; 8; 125000; 12903
2023-09-11 07:39:44; hka-aqm-a108;  27.00;  44.33;   535;  1837;  1225;   315;     1;     0;  -118;  -118;  -3.8; drag-outd-01; 3; 8; 125000; 12904
2023-09-11 07:51:13; hka-aqm-a108;  27.08;  44.46;   541;  1844;  1952;   470;     1;     0;  -119;  -119;  -5.8; drag-outd-01; 4; 8; 125000; 12906
2023-09-11 07:54:53; hka-aqm-a108;  27.09;  44.59;   541;  1859;  2375;   562;     1;     0;  -118;  -118;  -6.2; drag-outd-01; 2; 8; 125000; 12908
2023-09-11 07:55:52; hka-aqm-a108;  27.04;  44.59;   540;  1793;  2539;   601;     0;     0;  -121;  -121;  -9.8; drag-outd-01; 7; 8; 125000; 12909
2023-09-11 07:56:31; hka-aqm-a108;  27.03;  44.65;   544;  1799;  3215;   808;     1;     0;  -121;  -121;  -9.8; drag-outd-01; 5; 8; 125000; 12910
2023-09-11 07:57:11; hka-aqm-a108;  27.00;  44.65;   546;  1803;  5926;  1627;     1;     0;  -118;  -118;  -6.2; drag-outd-01; 1; 8; 125000; 12911
2023-09-11 07:57:35; hka-aqm-a108;  26.98;  44.65;   544;  1807;  7396;  2070;     1;     0;  -130;  -130; -11.2; drag-lps8-08; 0; 8; 125000; 12912
2023-09-11 07:58:33; hka-aqm-a108;  27.01;  44.65;   545;  1807; 12722;  3669;     1;     0;  -129;  -129;  -9.8; drag-lps8-08; 6; 8; 125000; 12914
2023-09-11 07:58:52; hka-aqm-a108;  26.98;  44.68;   544;  1809; 12443;  3583;     1;     0;  -118;  -118; -10.0; drag-outd-01; 5; 8; 125000; 12915
2023-09-11 07:59:12; hka-aqm-a108;  27.00;  44.68;   543;  1813; 11322;  3237;     1;     0;  -131;  -131; -10.8; drag-lps8-08; 7; 8; 125000; 12916
2023-09-11 07:59:32; hka-aqm-a108;  27.02;  44.65;   542;  1815;  9854;  2785;     1;     0;  -120;  -120;  -5.8; drag-outd-01; 1; 8; 125000; 12917
2023-09-11 07:59:53; hka-aqm-a108;  27.01;  44.71;   541;  1816;  8188;  2277;     1;     0;  -118;  -118;  -5.5; drag-outd-01; 4; 8; 125000; 12918
2023-09-11 08:00:12; hka-aqm-a108;  27.04;  44.68;   540;  1813;  6787;  1852;     1;     0;  -120;  -120;  -6.8; drag-outd-01; 2; 8; 125000; 12919
2023-09-11 08:00:32; hka-aqm-a108;  27.00;  44.68;   540;  1812;  6151;  1658;     0;     0;  -120;  -120;  -6.0; drag-outd-01; 1; 8; 125000; 12920
2023-09-11 08:01:13; hka-aqm-a108;  27.02;  44.78;   544;  1815;  7554;  2052;     0;     0;  -120;  -120;  -6.5; drag-outd-01; 0; 8; 125000; 12921
2023-09-11 08:02:13; hka-aqm-a108;  27.05;  44.78;   545;  1815; 13866;  3904;     0;     0;  -121;  -121; -10.0; drag-outd-01; 5; 8; 125000; 12923
2023-09-11 08:02:51; hka-aqm-a108;  27.01;  44.78;   547;  1814; 15994;  4535;     1;     0;  -129;  -129; -10.0; drag-lps8-08; 6; 8; 125000; 12924
2023-09-11 08:03:11; hka-aqm-a108;  27.02;  44.78;   544;  1921; 17453;  4970;     1;     0;  -120;  -120;  -9.5; drag-outd-01; 7; 8; 125000; 12925
2023-09-11 08:03:51; hka-aqm-a108;  27.06;  44.78;   546;  1885; 19126;  5454;     1;     0;  -130;  -130; -10.8; drag-lps8-08; 4; 8; 125000; 12926
2023-09-11 08:04:11; hka-aqm-a108;  27.09;  44.78;   544;  1862; 19467;  5535;     1;     0;  -130;  -130; -10.5; drag-lps8-08; 6; 8; 125000; 12927
2023-09-11 08:04:31; hka-aqm-a108;  27.08;  44.78;   542;  1848; 19786;  5609;     1;     0;  -120;  -120;  -9.2; drag-outd-01; 7; 8; 125000; 12928
2023-09-11 08:04:51; hka-aqm-a108;  27.15;  44.78;   541;  1778; 20115;  5691;     1;     0;  -119;  -119; -10.8; drag-outd-01; 5; 8; 125000; 12929
2023-09-11 08:05:11; hka-aqm-a108;  27.13;  44.75;   540;  1803; 20332;  5750;     1;     0;  -119;  -119;  -5.8; drag-outd-01; 4; 8; 125000; 12930
2023-09-11 08:05:32; hka-aqm-a108;  27.13;  44.71;   540;  1804; 19204;  5408;     1;     0;  -120;  -120;  -6.0; drag-outd-01; 1; 8; 125000; 12931
